hotel_id,room_id,name,amenities
B-02594,RB-98672,"Economy, Double or Twin",Air conditioning|Desk|Fan|Wardrobe or closet|Flat-screen TV|TV
B-60029,RB-24832,"1 Bed Room, Single Use",
B-50148,RB-02953,Run of House,
B-31388,RB-02196,"Suite, King, 1 Bedroom, Club Lounge Access",
B-99571,RB-07906,"Family, No Air Conditioner",
B-67666,RB-07394,"Standard, Double",
B-93216,RB-47260,Executive,TV|Trash can|Fan|Housekeeping|Hangers|Toiletries|Charging points|Clothes rack|Desk|Dental kit|Hangers|Toiletries|Charging points|Clothes rack|Desk|Dental kit|Shower|Telephone|Conditioner|Room service|Shower|Telephone|Conditioner|Room service|Air conditioning|Mirror|TV|Trash can|Fan|Housekeeping|Air conditioning|Mirror
B-69376,RB-98329,Run of House,
B-21582,RB-45379,Run of House,
B-14455,RB-36643,"Deluxe, Twin",Air conditioning|Attached washroom|Blanket|Desk|Room service|WiFi access|Charging points|Clothes rack|Housekeeping|Air conditioning|Attached washroom|Blanket|Desk|Room service|WiFi access|Charging points|Clothes rack|Housekeeping|Mirror|Mirror|Fridge|Fridge
B-45478,RB-75704,Run of House,
B-49463,RB-90975,Triple Room,Fan|Room service|Shower|TV|Water bottle|WiFi access|Adapter|Charging points|Hangers|Housekeeping|Charging points|Mirror|Hangers|Cushions|Housekeeping|Dustbin|Mirror|Toilet paper|Cushions|Toothbrush|Dustbin|Towels|Toilet paper|Toothbrush|Towels|Accessible by elevator|Accessible by elevator|Attached washroom|Blanket|Fan|Room service|Shower|TV|Water bottle|WiFi access|Adapter|Attached washroom|Blanket
B-53430,RB-77709,"Superior, Twin",Fire extinguisher|Smoke detector|Toiletries|Carpeted|Water bottle|Blackout curtains|Safe|Air conditioning|TV|Towels|Fire extinguisher|Bathtub|Smoke detector|LAN Internet access|Toiletries|Wake up service|Carpeted|Desk|Water bottle|Electric kettle|Blackout curtains|Linens|Safe|Air conditioning|TV|Towels|Slippers|Soundproof|Tea/coffee maker|Shower|Fire safety|Private bathroom|Hairdryer|Telephone|Sofa|Satellite channels|Flat-screen TV|Wardrobe/closet|Safe deposit box|Alarm clock|Bathtub|Ironing facilities|LAN Internet access|Charging points|Wake up service|Interconnecting room(s) available|Desk|Trash can|Electric kettle|Linens|Flat-screen TV|Wardrobe/closet|Safe deposit box|Alarm clock|Ironing facilities|Charging points|Interconnecting room(s) available|Trash can|Slippers|Soundproof|Tea/coffee maker|Shower|Fire safety|Private bathroom|Hairdryer|Telephone|Sofa|Satellite channels
B-72452,RB-32947,"Deluxe, Twin",
B-95658,RB-69967,"Executive, Queen",
B-34351,RB-08248,"Standard Apartment, 1 Bedroom",
B-57026,RB-26293,"Premium, Twin, Balcony",Sewing kit|Tea/coffee maker|WiFi access|Toiletries|Toilet paper|Flat-screen TV|Electric kettle|Iron|Hangers|Fridge|Water bottle|Water bottle|Non-feather pillow|Non-feather pillow|Satellite channels|Satellite channels|Shampoo|Shampoo|Room service|Room service|Wardrobe/closet|Wardrobe/closet|Duvet|Air conditioning|Clothes rack|Dental kit|Sewing kit|Tea/coffee maker|WiFi access|Toiletries|Toilet paper|Flat-screen TV|Electric kettle|Iron|Hangers|Fridge|Duvet|Air conditioning|Clothes rack|Dental kit|Ironing facilities|Ironing facilities|Linens|Linens|Fan|Fan|Mirror|Mirror|Blackout curtains|Blackout curtains|Blanket|Blanket|Shower cap|Laundry|Desk|Telephone|Shower cap|Laundry|Desk|Telephone|Body soap|Body soap|Conditioner|Conditioner|Attached washroom|Attached washroom|Towels|Towels|Charging points|Charging points|Cushions|Cushions|Safe|Shower|Hairdryer|Wake up service|Safe|Shower|Hairdryer|Wake up service|Housekeeping|Housekeeping|Geyser|Geyser|TV|TV|Trash can|Trash can
B-78918,RB-02231,"Deluxe, Twin, Pool View",
B-42191,RB-51993,"Executive, Twin, City View",Slippers|Phone|Private bathroom|Desk|Flat-panel TV|Free local calls|Free newspaper|Free newspaper|WiFi speed - 50+ Mbps|Towels provided|Smoking|Soap|Toilet paper|Shower only|Free WiFi|Wireless internet access|Change of towels (on request)|Shampoo|Phone|Iron/ironing board (on request)|Desk|Change of bed sheets (on request)|Free local calls|Laptop-friendly workspace|WiFi speed - 50+ Mbps|Window screens|Towels provided|Slippers|Soap|In-room climate control (air conditioning)|Toilet paper|Shower only|Smoking|Television|Satellite TV service|Iron/ironing board (on request)|Change of bed sheets (on request)|Laptop-friendly workspace|Window screens|In-room climate control (air conditioning)|Wardrobe or closet|Daily housekeeping|Private bathroom|Daily housekeeping|Wireless internet access|Free WiFi|Shampoo|Change of towels (on request)
B-51250,RB-21638,Deluxe,Blackout curtains|Charging points|Dustbin|Attached washroom|Blanket|Fan|WiFi access|Blackout curtains|Charging points|Dustbin|Attached washroom|Blanket|Fan|WiFi access
B-68048,RB-89449,Run of House,
B-94158,RB-60096,Run of House,
B-50606,RB-17813,"Standard, Double",
B-55016,RB-38073,"Club, Twin, Airport View",
B-17390,RB-34806,"Elite, Double or Twin, Balcony",Number of bedrooms|Room Size 20 sqm|Smoking rooms|Fan|Tea and coffee making facilities|Double bed 131-150 width|Tea and coffee making facilities|Fan|Hairdryer|Double bed 131-150 width|Individually adjustable air conditioning|Toiletries|TV|Balcony|Wheelchair-accessible|Wi-fi|Toiletries|TV|Housekeeping|Number of bedrooms|Room Size 20 sqm|Smoking rooms|Wi-fi|Wheelchair-accessible|Balcony|Individually adjustable air conditioning|Hairdryer|Housekeeping
B-53430,RB-83495,"Deluxe, Double or 1 Twin",
B-68965,RB-45569,Triple Room,
B-16961,RB-98680,"Apartment, City View",
B-80062,RB-82067,Run of House,
B-41630,RB-52884,Run of House,
B-27756,RB-18385,"Deluxe, Double",Cable TV service|In-room safe|Free bottled water|LCD TV|WiFi speed - 25+ Mbps|Cable TV service|Towels provided|Free bottled water|Bedsheets provided|Non-Smoking|Fan|Toilet paper|Shower only|Wireless internet access|Toothbrush and toothpaste available on request|Premium bedding|TV size measurement: inch|Egyptian-cotton sheets|Private bathroom|Toothbrush and toothpaste available on request|Free toiletries|TV size measurement: inch|Ceiling fan|Private bathroom|Daily housekeeping|Free toiletries|Air conditioning|Ceiling fan|TV size: 28|Daily housekeeping|Free WiFi|Rainfall showerhead|WiFi speed - 25+ Mbps|Towels provided|Bedsheets provided|Non-Smoking|Fan|Toilet paper|Shower only|Wireless internet access|Premium bedding|Egyptian-cotton sheets|Air conditioning|TV size: 28|In-room safe|Free WiFi|LCD TV|Rainfall showerhead
B-82380,RB-43966,"Standard, Queen, Balcony",Mirror|Linens|Washing machine|Flat-screen TV|Wardrobe/closet|Charging points|Fan|Kitchen|Accessible by elevator|Air conditioning|TV|Towels|Terrace|LAN Internet access|Fridge|Desk|Shower|Upper floors accessible by stairs only|Private bathroom|Hairdryer|Wheelchair accessible|First aid kit|Fire extinguisher|Smoke detector|Microwave|Toiletries|Clothes rack|Electric kettle
B-51243,RB-15445,Executive,Room service (limited hours)|Free local calls|Bedsheets provided|Room service (limited hours)|Non-Smoking|Premium bedding|Electric kettle|Egyptian-cotton sheets|Lever door handles|Window screens|Private bathroom|Wardrobe or closet|Memory foam mattress|Bathtub or shower|Ceiling fan|Memory foam mattress|Daily housekeeping|Ceiling fan|Air conditioning|Daily housekeeping|Free WiFi|Air conditioning|Rollaway/extra beds (surcharge)|Free WiFi|Phone|Rollaway/extra beds (surcharge)|Desk|Phone|Flat-panel TV|Cable TV service|Bedsheets provided|Non-Smoking|Premium bedding|Electric kettle|Egyptian-cotton sheets|Lever door handles|Window screens|Private bathroom|Wardrobe or closet|Bathtub or shower|Desk|Flat-panel TV|Free bottled water|Cable TV service|Free local calls|Free bottled water
B-19271,RB-87170,"1 Bed Room, Single Use",
B-35228,RB-40376,"Executive, King, Terrace",Separate bathtub and shower|Minibar|In-room safe|Room service (24 hours)|LCD TV|Free bottled water|Free cribs/infant beds|Wardrobe or closet|Free wired internet|Coffee/tea maker|Memory foam mattress|Daily housekeeping|Free WiFi|Individually furnished|HDTV|Shampoo|Phone|Braille signage|iPod docking station|Slippers|Down comforter|Wheelchair accessible|Air conditioning|Rollaway/extra beds (surcharge)|Separate sitting area|Cable TV service|Free newspaper|Bed sheets not available|Premium bedding|Wheelchair-accessible bathroom vanity|Blackout drapes/curtains|Desk|Premium TV channels|Accessible bathtub|Soap|Connecting/adjoining rooms available|Toilet paper|Non-Smoking|Television|Turndown service|Soundproofed rooms|Grab bar - in bathtub|Laptop-friendly workspace|Grab bar - in shower|Separate bathtub and shower|Minibar|Wardrobe or closet|Free wired internet|Coffee/tea maker|Memory foam mattress|Daily housekeeping|Free WiFi|Individually furnished|HDTV|Phone|iPod docking station|Towels provided|Lowered electrical outlets in bathroom|TV size measurement: inch|Private bathroom|Bathrobes|Free toiletries|Hair dryer|TV size: 40|Iron/ironing board|Rainfall showerhead|In-room safe|Room service (24 hours)|LCD TV|Free bottled water|Free cribs/infant beds|AirConditioning|Balcony|Internet|Minibar|RoomService|Television|Terrace|Bed sheets not available|Premium bedding|Wheelchair-accessible bathroom vanity|Blackout drapes/curtains|Desk|Premium TV channels|Accessible bathtub|Soap|Connecting/adjoining rooms available|Toilet paper|Shampoo|Braille signage|Slippers|Down comforter|Wheelchair accessible|Air conditioning|Rollaway/extra beds (surcharge)|Separate sitting area|Cable TV service|Towels provided|Lowered electrical outlets in bathroom|TV size measurement: inch|Private bathroom|Bathrobes|Free toiletries|Hair dryer|Free newspaper|TV size: 40|Non-Smoking|Iron/ironing board|Television|Rainfall showerhead|Turndown service|Soundproofed rooms|Grab bar - in bathtub|Laptop-friendly workspace|Grab bar - in shower
B-47738,RB-24096,"Deluxe, Double or King",
B-65336,RB-69990,"Apartment, Balcony",Oven|Shampoo|Shower|Sofa|Sofa bed|Towels|TV|Trash can|Wardrobe/closet|Fridge|Sofa bed|Towels|TV|Trash can|Wardrobe/closet|Fridge|Air conditioning|Desk|Fan|Kitchen|Air conditioning|Desk|Fan|Kitchen|Kitchenware|Microwave|Oven|Shampoo|Shower|Sofa|Kitchenware|Microwave
B-61663,RB-93154,"Superior Studio, Queen",
B-79806,RB-55168,"Deluxe, King",
B-68913,RB-90662,"Standard, Double, No Air Conditioner",Clothes rack|Satellite channels|Linens|Wardrobe/closet|Fire extinguisher|Alarm clock|Ironing facilities|Toiletries|Fan|Carpeted|Fire extinguisher|Alarm clock|Ironing facilities|Toiletries|Fan|Carpeted|Accessible by elevator|Shower|Air conditioning|TV|Accessible by elevator|Shower|Air conditioning|TV|Towels|Desk|Clothes rack|Satellite channels|Linens|Wardrobe/closet|Towels|Desk
B-23652,RB-06151,"1 Double or 1 King Room, Panoramic View",
B-68636,RB-34034,"Standard, Twin",Wardrobe/closet|Toiletries|Fan|Charging points|Trash can|Water bottle|Blackout curtains|Accessible by elevator|Shower|TV|Towels|Private bathroom|LAN Internet access|Satellite channels|Electric kettle|Linens|Flat-screen TV
B-82286,RB-12443,Run of House,
B-01603,RB-18602,"Deluxe Corner, Queen",No rollaway/extra beds|Cable TV service|Room service (limited hours)|Free bottled water|Towels provided|No rollaway/extra beds|Hair dryer (on request)|Room service (limited hours)|Bedsheets provided|Smoking and Non-Smoking|Shower only|Premium bedding|Electric kettle|Iron/ironing board (on request)|Private bathroom|Microwave (on request)|Refrigerator|In-room climate control (air conditioning)|Coffee/tea maker|Private bathroom|Wheelchair accessible|Refrigerator|Ceiling fan|Coffee/tea maker|Daily housekeeping|Wheelchair accessible|Free WiFi|Ceiling fan|In-room safe|Daily housekeeping|Desk|Flat-panel TV|Towels provided|Hair dryer (on request)|Bedsheets provided|Smoking and Non-Smoking|Shower only|Premium bedding|Electric kettle|Iron/ironing board (on request)|Microwave (on request)|In-room climate control (air conditioning)|Free WiFi|In-room safe|Cable TV service|Desk|Free bottled water|Flat-panel TV
B-60146,RB-55328,"Premium, City View, Balcony","Toilet paper|Shower only|Wireless internet access|Shampoo|Shared/communal kitchen access|Private bathroom|Rollaway/extra beds (surcharge)|Full-sized refrigerator/freezer|Cookware, dishware, and utensils|Microwave|Bidet|Free bottled water|Desk|Balcony|WiFi speed - 250+ Mbps (good for 3–5 people or up to 10 devices)|Towels provided|Bedsheets provided|Soap|Toilet paper|Shower only|Wireless internet access|Non-Smoking|Iron/ironing board (on request)|Change of bed sheets (on request)|Laptop-friendly workspace|Window screens|Wardrobe or closet|Ceiling fan|Daily housekeeping|Free WiFi|Change of towels (on request)|Shampoo|Shared/communal kitchen access|Private bathroom|Rollaway/extra beds (surcharge)|Full-sized refrigerator/freezer|Cookware, dishware, and utensils|Microwave|Free bottled water|Non-Smoking|Iron/ironing board (on request)|Change of bed sheets (on request)|Laptop-friendly workspace|Window screens|Wardrobe or closet|Ceiling fan|Daily housekeeping|Free WiFi|Change of towels (on request)|Desk|Balcony|WiFi speed - 250+ Mbps (good for 3–5 people or up to 10 devices)|Towels provided|Bedsheets provided|Soap"
B-45518,RB-79947,Run of House,
B-84485,RB-48237,Suite,Charging points|Clothes rack|Trash can|Body soap|Towels|Flat-screen TV|Trash can|Body soap|Towels|Flat-screen TV|Accessible by elevator|Air conditioning|Attached washroom|Blanket|Fan|TV|Accessible by elevator|Air conditioning|Attached washroom|Blanket|Fan|TV|WiFi access|Blackout curtains|Charging points|Clothes rack|WiFi access|Blackout curtains
B-70630,RB-71041,"Standard, City View",
B-33230,RB-66642,Run of House,
B-72793,RB-14836,Superior,Television|Smoking and Non-Smoking|Pets allowed|Turndown service|Premium bedding|Electric kettle|Iron/ironing board (on request)|Soundproofed rooms|Change of bed sheets (on request)|Laptop-friendly workspace|In-room climate control (air conditioning)|In-room climate control (air conditioning)|Blackout drapes/curtains|Blackout drapes/curtains|Minibar|Minibar|Wardrobe or closet|Wardrobe or closet|Daily housekeeping|Daily housekeeping|Individually decorated|Individually decorated|Free WiFi|Change of towels (on request)|Individually furnished|Phone|Television|Smoking and Non-Smoking|Pets allowed|Turndown service|Premium bedding|Electric kettle|Iron/ironing board (on request)|Soundproofed rooms|Change of bed sheets (on request)|Laptop-friendly workspace|Free WiFi|Change of towels (on request)|Individually furnished|Phone|In-room safe (laptop compatible)|In-room safe (laptop compatible)|Desk|Desk|Designer toiletries|Designer toiletries|High-speed internet access|High-speed internet access|Towels provided|Towels provided|Premium TV channels|Premium TV channels|Eco-friendly toiletries|Eco-friendly cleaning products provided|Bedsheets provided|Recycling|Eco-friendly toiletries|Eco-friendly cleaning products provided|Bedsheets provided|Recycling|LED light bulbs|LED light bulbs|Connecting/adjoining rooms available|Connecting/adjoining rooms available|Toothbrush and toothpaste available|Toothbrush and toothpaste available|Shower only|Shower only|TV size measurement: inch|TV size measurement: inch|Slippers|Slippers|Private bathroom|Free toiletries|Hair dryer|TV size: 28|Private bathroom|Free toiletries|Hair dryer|TV size: 28|Rainfall showerhead|Rainfall showerhead|Room service (24 hours)|Room service (24 hours)|Flat-panel TV|Flat-panel TV|Free bottled water|Free bottled water
B-25631,RB-69622,Run Of House,
B-83933,RB-30252,"Deluxe, 1 Bed, Single Use",
B-21046,RB-94387,"Suite, City View, Club Lounge Access",Lounge
B-23652,RB-54554,"Horizon Bangalore, Double or King, Horizon View",
B-72007,RB-01993,"Garden Suite, Parking Access",Internet
B-70630,RB-90835,"Standard, Queen, Balcony",
B-46582,RB-97181,"Executive, King",Soundproof room|King-size bed 150-183 width|AirConditioning|Internet|LoungeAccess|Minibar|Television|Disability-friendly bathroom|Wi-fi|Wake-up service|Turndown service|Extra beds on demand|Toiletries|Slippers|Trouser press|Cable TV|Room Size 37 sqm|Make-up mirror|Shower|Hairdryer|TV|Internet access|Mini fridge|Tea and coffee making facilities|Individually adjustable air conditioning|Living room|Wheelchair-accessible|Number of bedrooms|Housekeeping
B-52425,RB-98129,"Luxury Apartment, Balcony","Desk|Balcony|WiFi speed - 100+ Mbps (good for 1–2 people or up to 6 devices)|Towels provided|Bedsheets provided|Mixer|Toothbrush and toothpaste available|Toilet paper|Shower only|Wireless internet access|Free WiFi|Washing machine|Individually furnished|TV size measurement: inch|Desk|Stovetop|Balcony|Private bathroom|WiFi speed - 100+ Mbps (good for 1–2 people or up to 6 devices)|Hair dryer|Towels provided|TV size: 32|Bedsheets provided|Mixer|Toothbrush and toothpaste available|Toilet paper|Non-Smoking|Tile flooring in room|Digital TV service|Freezer|Laptop-friendly workspace|Smart TV|Separate dining area|Refrigerator|Ceiling fan|Daily housekeeping|Iron/ironing board|Kitchen|Cookware, dishware, and utensils|Microwave|Shower only|Oven|Wireless internet access|Washing machine|TV size measurement: inch|Stovetop|Hair dryer|TV size: 32|Iron/ironing board|Kitchen|Cookware, dishware, and utensils|Microwave|Oven|Non-Smoking|Tile flooring in room|Digital TV service|Freezer|Laptop-friendly workspace|Smart TV|Separate dining area|Refrigerator|Ceiling fan|Daily housekeeping|Free WiFi|Individually furnished"
B-94519,RB-95793,Run of House,
B-01603,RB-64087,Run of House,
B-09224,RB-64423,"Standard, Twin",Attached washroom|Blanket|Water bottle|Attached washroom|Blanket|Water bottle
B-67729,RB-34108,"Superior, Queen",
B-69283,RB-48155,"Standard Room, Room - 2 Twin",Phone|Restaurant dining guide|Towels provided|Bedsheets provided|Wireless internet access|TV size measurement: inch|Private bathroom|Free toiletries|Hair dryer|TV size: 40|Desk|Iron/ironing board|WiFi speed - 25+ Mbps|Free bottled water|Soap|Toothbrush and toothpaste available|Toilet paper|Shower only|Shampoo|Wheelchair accessible|Air conditioning|Rollaway/extra beds (surcharge)|Wheelchair-width doorways|Premium bedding|Electric kettle|Satellite TV service|Guidebooks or recommendations|Window screens|Smart TV|Electrical adapters/chargers|Blackout drapes/curtains|In-room safe (laptop compatible)|Sofa bed|Separate sitting area|Smooth flooring in room|Non-Smoking|Television|Hardwood flooring in room|Desk chair|Soundproofed rooms|Laptop-friendly workspace|Separate dining area|Minibar|Wardrobe or closet|Coffee/tea maker|Memory foam mattress|Daily housekeeping|Number of days between bed sheet changes: 2|Free WiFi|Change of towels (on request)|Phone|Restaurant dining guide|Towels provided|Bedsheets provided|Wireless internet access|TV size measurement: inch|Private bathroom|Free toiletries|Hair dryer|TV size: 40|Iron/ironing board|Free bottled water|Wheelchair-width doorways|Premium bedding|Electric kettle|Satellite TV service|Guidebooks or recommendations|Window screens|Smart TV|Electrical adapters/chargers|Blackout drapes/curtains|In-room safe (laptop compatible)|Desk|WiFi speed - 25+ Mbps|Soap|Toothbrush and toothpaste available|Toilet paper|Shower only|Shampoo|Wheelchair accessible|Air conditioning|Rollaway/extra beds (surcharge)|Sofa bed|Separate sitting area|Smooth flooring in room|Non-Smoking|Television|Hardwood flooring in room|Desk chair|Soundproofed rooms|Laptop-friendly workspace|Separate dining area|Minibar|Wardrobe or closet|Coffee/tea maker|Memory foam mattress|Daily housekeeping|Number of days between bed sheet changes: 2|Free WiFi|Change of towels (on request)
B-70075,RB-97958,Superior,
B-23894,RB-94033,Studio,
B-21296,RB-71200,"Deluxe, Single Use",
B-82286,RB-41537,Double Room,
B-55016,RB-91838,"Club, Double or King",
B-38400,RB-72409,Run of House,
B-19271,RB-02698,"Luxe, Double or Queen",
B-31099,RB-84549,Premium,Attached washroom|Blanket|Water bottle|TV|WiFi access|Attached washroom|Blanket|Water bottle|TV|WiFi access
B-67542,RB-61727,Room - 2 Queen,
B-31061,RB-84710,"Deluxe Suite, Balcony, Extra Bed",
B-23899,RB-11694,"Premier, 2 Bed, Single Use",
B-90077,RB-18243,"Standard, King",
B-17889,RB-88560,Conservatory Garden,
B-95290,RB-45062,"Deluxe Suite, 2 Single or 1 Twin, City View",
B-02736,RB-14660,Run of House,
B-12767,RB-42336,Run of House,
B-67666,RB-01147,"Luxury Suite, 1 Double or 1 Twin",
B-50096,RB-86037,"Superior, King",
B-03591,RB-32834,Superior Bungalow,
B-69729,RB-02917,Run of House,
B-45078,RB-81827,Run of House,
B-23794,RB-32026,Deluxe,Private bathroom|Top floor|Toiletries|Wheelchair|Air conditioning|Dental kit|TV|Electric kettle|Dining area|Wardrobe/closet|Coffee machine|Housekeeping - daily|Desk|Body soap|Toilet paper|Shower|Shampoo
B-29646,RB-10579,Premium Double Room,
B-37472,RB-61108,Run of House,
B-55292,RB-49874,Executive,Attached washroom|Blanket|Water bottle|Attached washroom|Blanket|Water bottle
B-03773,RB-15204,"Standard, 2 Twin, City View",Towels provided|Hair dryer (on request)|Bedsheets provided|Soap|LED TV|Toothbrush and toothpaste available|Toilet paper|Shower only|Shampoo|Egyptian-cotton sheets|Free WiFi|TV size measurement: inch|Towels provided|Slippers|Hair dryer (on request)|Private bathroom|Bedsheets provided|Bathrobes|Soap|Free toiletries|LED TV|Wheelchair accessible|Toothbrush and toothpaste available|Toilet paper|Shower only|Shampoo|Non-Smoking|Television|Premium bedding|Satellite TV service|Iron/ironing board (on request)|Soundproofed rooms|Electrical adapters/chargers|Blackout drapes/curtains|Memory foam mattress|Daily housekeeping|Air conditioning|TV size: 42|Rollaway/extra beds (surcharge)|Rainfall showerhead|Egyptian-cotton sheets|In-room safe|TV size measurement: inch|Room service (24 hours)|Slippers|Private bathroom|Bathrobes|Free toiletries|Wheelchair accessible|Air conditioning|TV size: 42|Rollaway/extra beds (surcharge)|Rainfall showerhead|In-room safe|Room service (24 hours)|Non-Smoking|Television|Premium bedding|Satellite TV service|Iron/ironing board (on request)|Soundproofed rooms|Electrical adapters/chargers|Blackout drapes/curtains|Memory foam mattress|Daily housekeeping|Free WiFi
B-58534,RB-87005,"Studio, King",Restaurant dining guide|Towels provided|Bedsheets provided|Day bed|TV size measurement: inch|Private bathroom|Bathrobes|Hair dryer|TV size: 68|Iron/ironing board|Shampoo|Fireplace|Slippers|Room service (24 hours)|Location - top floor|LCD TV|Down comforter|Free bottled water|Air conditioning|Rollaway/extra beds (surcharge)|Separate sitting area|Free newspaper|Meal delivery service available|Office|Digital TV service|Premium bedding|Access via exterior corridors|Desk|Balcony|Mini-fridge|Soap|Connecting/adjoining rooms available|Toothbrush and toothpaste available|Toilet paper|Smooth flooring in room|Thin carpet in room|Non-Smoking|Area rug/s in room|Champagne service|Desk chair|Dining table|Turndown service|Pillow menu|Soundproofed rooms|Change of bed sheets (on request)|Laptop-friendly workspace|Separate dining area|Minibar|Wardrobe or closet|Bathtub or shower|Coffee/tea maker|Memory foam mattress|Daily housekeeping|Individually decorated|Change of towels (on request)|Individually furnished|Phone|Free local calls
B-61697,RB-68656,"Superior, Double or Twin",Refrigerator|Minibar|Coffee/tea maker|Ceiling fan|Daily housekeeping|Individually decorated|Free WiFi|Individually furnished|Access via exterior corridors|Phone|Coffee/tea maker|Desk|Ceiling fan|No cribs (infant beds)|Daily housekeeping|Towels provided|Individually decorated|Bedsheets provided|Free WiFi|Shower only|Individually furnished|Slippers|Access via exterior corridors|Phone|Desk|No cribs (infant beds)|Heating|Non-Smoking|Turndown service|Electric kettle|Pillow menu|Iron/ironing board (on request)|Soundproofed rooms|Blackout drapes/curtains|Refrigerator|Minibar|Private bathroom|Free toiletries|Wheelchair accessible|Hair dryer|Towels provided|Air conditioning|Bedsheets provided|Rollaway/extra beds (surcharge)|Shower only|In-room safe|Slippers|Separate sitting area|Private bathroom|Room service (24 hours)|Free toiletries|Flat-panel TV|Wheelchair accessible|Hair dryer|Air conditioning|Rollaway/extra beds (surcharge)|Cable TV service|Free newspaper|In-room safe|Separate sitting area|Room service (24 hours)|Flat-panel TV|Cable TV service|Free newspaper|Heating|Non-Smoking|Turndown service|Electric kettle|Pillow menu|Iron/ironing board (on request)|Soundproofed rooms|Blackout drapes/curtains
B-96700,RB-04393,Deluxe,Air conditioning|TV size: 32|Rainfall showerhead|In-room safe|LCD TV|Cable TV service|Free bottled water|Room service (limited hours)|Toilet paper|Shower only|Wireless internet access|Egyptian-cotton sheets|Toothbrush and toothpaste available on request|TV size measurement: inch|Private bathroom|Free toiletries|Air conditioning|TV size: 32|Non-Smoking|Tile flooring in room|Premium bedding|Wardrobe or closet|Ceiling fan|Daily housekeeping|Free WiFi|WiFi speed - 25+ Mbps|Towels provided|Bedsheets provided|Rainfall showerhead|In-room safe|LCD TV|Cable TV service|Free bottled water|Room service (limited hours)|Non-Smoking|Tile flooring in room|Premium bedding|Wardrobe or closet|Ceiling fan|Daily housekeeping|Free WiFi|WiFi speed - 25+ Mbps|Towels provided|Bedsheets provided|Toilet paper|Shower only|Wireless internet access|Egyptian-cotton sheets|Toothbrush and toothpaste available on request|TV size measurement: inch|Private bathroom|Free toiletries
B-19069,RB-74118,Run of House,
B-66831,RB-51033,Superior Deluxe Double Room,Electric kettle|Satellite TV service|Soundproofed rooms|Change of bed sheets (on request)|Laptop-friendly workspace|Blackout drapes/curtains|Minibar|Wardrobe or closet|Coffee/tea maker|Daily housekeeping|Minibar|Free WiFi|Wardrobe or closet|Phone|Coffee/tea maker|Desk|Daily housekeeping|No cribs (infant beds)|Free WiFi|Towels provided|Phone|Bedsheets provided|Desk|No cribs (infant beds)|Towels provided|Bedsheets provided|Non-Smoking|Hardwood flooring in room|Desk chair|Premium bedding|Electric kettle|Satellite TV service|Soundproofed rooms|Change of bed sheets (on request)|Laptop-friendly workspace|Blackout drapes/curtains|Connecting/adjoining rooms available|LED TV|Toilet paper|Shower only|Connecting/adjoining rooms available|Wireless internet access|LED TV|Visual fire alarm|Toilet paper|Shampoo|Shower only|TV size measurement: inch|Wireless internet access|Slippers|Visual fire alarm|Private bathroom|Shampoo|TV size measurement: inch|Slippers|Private bathroom|Bathrobes|Free toiletries|Hair dryer|Air conditioning|Bathrobes|TV size: 48|Free toiletries|Iron/ironing board|Hair dryer|Housekeeping on request|Air conditioning|In-room safe|TV size: 48|Free bottled water|Iron/ironing board|Free newspaper|Housekeeping on request|In-room safe|Free bottled water|Free newspaper|Non-Smoking|Hardwood flooring in room|Desk chair|Premium bedding
B-62823,RB-66709,Run of House,
B-11008,RB-65585,Deluxe,Energy-saving switches|In-room safe|Eco-friendly toiletries|Separate sitting area|Eco-friendly cleaning products provided|Room service (24 hours)|Bedsheets provided|Free bottled water|LED light bulbs|Soap|Reusable coffee/tea filters|LED TV|Toilet paper|Shower only|Composting|Shampoo|Electrical adapters/chargers|Toothbrush and toothpaste available on request|Wardrobe or closet|TV size measurement: inch|Coffee/tea maker|Slippers|Number of days between towel changes: 2|Private bathroom|Ceiling fan|Free toiletries|Daily housekeeping|Wheelchair accessible|Number of days between bed sheet changes: 2|Hair dryer|Free WiFi|Desk|Non-Smoking|Area rug/s in room|Television|In-room climate control (heating)|Tile flooring in room|Electric kettle|Satellite TV service|Iron/ironing board (on request)|Laptop-friendly workspace|Free weekday newspaper|Air conditioning|TV size: 34|Designer toiletries|Rollaway/extra beds (surcharge)|Towels provided|Rainfall showerhead
B-50148,RB-80537,King Room,
B-95871,RB-22592,Run of House,
B-13842,RB-06608,Superior Double Room,Towels|TV|Charging points|Air conditioning|Desk|Fan|Ironing facilities|Towels|TV|Charging points|Air conditioning|Desk|Fan|Ironing facilities
B-98441,RB-34571,"Deluxe, 1 Bed, Single Use",
B-46419,RB-47229,Suite,Minibar|Wine glasses|Carpeted|Desk|Ground floor|Outdoor furniture|Separate dining area|Sofa|Trash can|Wardrobe/closet|Air conditioning|Clothes dryer|Alarm clock|Clothes rack|Fan|Dressing room|Linens|Ironing facilities|Mosquito net|Washing machine|Slippers|Upper floors accessible by stairs only|Soundproof|Fire extinguisher|Tea/coffee maker|Safe|Dining table|Water bottle|Electric kettle|Hairdryer|Mirror|Toiletries|Towels|Free WiFi|Hotspots|Satellite channels|Telephone|Adapter|Smoke detector|Charging points|Kitchen|Attached washroom|Microwave|Fridge
